symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,totalvol,calloi,putoi,comment
A,4/18/2002,0.4397,0.4230,0.4314,1379,936,2315,45464,42100,
AA,4/18/2002,0.3198,0.3468,0.3333,5744,2896,8640,93014,52368,
AAI,4/18/2002,0.4865,0.4867,0.4866,89,21,110,5742,546,
AAPL,4/18/2002,0.4473,0.3955,0.4214,7020,2358,9378,141343,96338,
ABC,4/18/2002,0.3460,0.3051,0.3256,1654,85,1739,9380,5452,
ABF,4/18/2002,0.6041,0.6328,0.6184,1087,0,1087,7131,11908,
ABGX,4/18/2002,0.8304,0.8078,0.8191,156,124,280,11803,11059,
ABI,4/18/2002,0.5012,0.5029,0.5020,153,119,272,9330,5710,
ABK,4/18/2002,0.2648,0.2771,0.2710,0,0,0,1311,3540,
ABMD,4/18/2002,0.6050,0.8904,0.7477,70,164,234,4399,913,
ABN,4/18/2002,0.2713,0.2935,0.2824,0,0,0,736,2185,
ABS,4/18/2002,0.2381,0.2128,0.2254,42,135,177,9315,6172,
ABT,4/18/2002,0.2469,0.2472,0.2470,774,977,1751,104269,65319,
ABV,4/18/2002,0.3234,0.3357,0.3296,0,0,0,2,4,
ABX,4/18/2002,0.3877,0.3752,0.3814,5538,1152,6690,86113,35416,
ABY,4/18/2002,0.3526,0.3526,0.3526,0,0,0,647,409,
AC,4/18/2002,0.1781,0.2742,0.2262,65,58,123,6904,4878,
ACAI,4/18/2002,0.5619,0.5465,0.5542,10,5,15,306,353,
ACAM,4/18/2002,0.5565,0.4903,0.5234,0,16,16,160,97,
ACAS,4/18/2002,0.2411,0.2654,0.2533,32,0,32,2248,866,
ACDO,4/18/2002,0.4276,0.4032,0.4154,29,80,109,3515,2606,
ACE,4/18/2002,0.3562,0.3212,0.3387,602,230,832,8169,7742,
ACF,4/18/2002,0.5664,0.5841,0.5752,1748,1902,3650,44239,52075,
ACI,4/18/2002,0.4057,0.3669,0.3863,186,0,186,1467,805,
ACLA,4/18/2002,1.1562,1.1562,1.1562,0,0,0,370,113,
ACLS,4/18/2002,0.6205,0.5737,0.5971,5,81,86,3445,3038,
ACN,4/18/2002,0.5747,0.5737,0.5742,348,52,400,8377,11804,
ACPW,4/18/2002,0.7455,0.7460,0.7458,20,0,20,2033,2400,
ACRI,4/18/2002,0.7062,0.6792,0.6927,0,0,0,1662,549,
ACRT,4/18/2002,0.8756,0.8879,0.8818,530,275,805,3775,1419,
ACS,4/18/2002,0.4206,0.4186,0.4196,253,466,719,23520,38182,
ACTL,4/18/2002,0.4333,0.3806,0.4070,0,5,5,454,1236,
ACTR,4/18/2002,0.0000,0.0000,0.0000,0,0,0,1239,66,
ACTU,4/18/2002,0.8248,0.4920,0.6584,0,0,0,722,777,
ACXM,4/18/2002,0.5123,0.4805,0.4964,21,0,21,1759,3374,
ADBE,4/18/2002,0.4809,0.4865,0.4837,949,229,1178,47868,28574,
ADCT,4/18/2002,0.9078,0.9070,0.9074,1418,51,1469,68810,90391,
ADEX,4/18/2002,0.5653,0.6089,0.5871,5,0,5,127,105,
